ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
1009,Również nasze konstrukcje myślowe i tradycje mogą być naznaczone grzesznością świata.,"To przestrzeń, w której spotykają się konstruktywistyczny sceptycyzm i teologiczny sceptycyzm dotyczący kondycji świata i człowieka.","Ale są też miejsca, gdzie teologia może spotykać się z esencjalizmem w sposób twórczy.",KWJP,kondycji,kondycja,condition,-,-,money,0.0,0,0,1,0,sometimes_euph
1010,"Zobacz, jak ci się odwdzięczył!",Ależ mi łaska!”.,"Ale on wie, że wszystko otrzymał z ręki Boga.",KWJP,łaska,łaska,mercy,-,-,money,0.0,0,0,0,0,sometimes_euph
1011,Przestało?,"Duża tabletka amfetaminy, tak zwana setka, powinna – komuś, kto wcześniej nie brał – dać kopa wystarczającego do późnego wieczoru.",Ale mózg Mansky’ego jest inny.,KWJP,kopa,kop,a kick,uczucie po zażyciu narkotyku,a feeling induced by the use of illegal drugs,substances,1.0,1,1,1,1,sometimes_euph
1012,"Włosy przykrywały jej twarz, jedna noga wystawała za łóżko.","Alicja przez chwilę miała ochotę położyć się obok niej i przytulić do ciepłego, rozgrzanego nocą ciała.","Ale mogłaby ją obudzić, a przecież sama miała ochotę jeszcze z godzinę pospać.",KWJP,rozgrzanego,rozgrzać,to heat up,-,-,sex,0.0,0,0,0,0,sometimes_euph
1013,Pod gumką nie chwyta i robi się jaśniejsza plama.,"Albo skręca się mocno, tak jak wykręcając bieliznę, i robią się różne plamy, bo w skrętach farba nie dochodzi.",Albo można tylko jedno miejsce związać w węzeł itp.,KWJP,skrętach,skręt,a turn,-,-,substances,0.0,0,0,0,0,sometimes_euph
1014,Sprawę opisało BBC.,"Cytowani anonimowo pracownicy humanitarni opowiadają, że wykorzystywanie kobiet jest powszechne - niektóre Syryjki nie chcą chodzić do punktów dystrybucji żywności, bo wiedzą, że w zamian za należną im pomoc muszą zaoferować swoje ciała.","Agencje pomocowe mają przymykać na to oko, bo w rejonach ogarniętych wojną muszą polegać na lokalnych partnerach, nie wolno im narażać własnego personelu.",refugee crisis,dystrybucji,dystrybucja,distribution,-,-,immigration,0.0,0,0,0,0,sometimes_euph
1015,"„Jasiu, na szczęście to ja decyduję.","Zbyszka zawsze można posadzić na ławce, ale wtedy na pewno stracimy go na zawsze.","A to nie jest przecież facet, z którego można łatwo zrezygnować.",KWJP,stracimy,stracić,to lose,-,-,death,0.0,0,0,1,0,sometimes_euph
1016,- Doskonale! - zawołał Ferdynand.,- Ślicznie pan daje łapę.,A teraz niech pan poda tamtej pani.,NKJP300,daje łapę,dawać łapę,to give a paw,-,-,money,0.0,0,0,0,0,sometimes_euph
1017,"W głównym nurcie wciąż nie ma straszenia zarazami (a la Kaczyński) ani determinacji, by nie przyjmować u siebie żadnych (lub prawie żadnych) obcych.",Jednak mieści się już w nim mocne przymykanie granic dla uciekinierów.,"A także większa troska, jak ich nie wpuścić do Europy, od troski, jak im najlepiej pomóc.",refugee crisis,przymykanie,przymykać,to close (but not all the way),uniemożliwiać przekraczanie granic rosnącym liczbom uchodźców/ imigrantów,to not let increasing numbers of immigrants/ refugees to cross borders,immigration,1.0,1,1,1,1,always_euph
1018,To był drugi dzień świąt Wielkiej Nocy.,"Premier z Gdańska przyleciał jakiem przed prezydentem, obiecał sypnąć kasą na odbudowę domu i odleciał.",A prezydent jechał z Juraty samochodem.,KWJP,kasą,kasa,cash register,pieniądze,money,money,1.0,0,1,1,1,always_euph
1019,Leżą na ulicy?,Za samo istnienie trzeba słono płacić i przed każdym transportem dawać w łapę hyclom.,A potem?,NKJP300,dawać w łapę,dawać w łapę,to give in a paw,przekupić kogoś,to bribe someone,money,1.0,1,1,1,1,always_euph
1020,Co z nimi się stanie w gimnazjum i potem?,"Niektóre z grupy zbuntowanych spotykam parę dni później w krzakach z papierosem albo i skrętem, więc być może ich szkolna kariera nie będzie najłatwiejsza.","A może to inne dziewczyny, też zbuntowane, wyglądające tak samo bez względu na to (...).",KWJP,skrętem,skręt,a turn,papieros skręcony ręcznie zawierający tytoń i marihuanę,a hand-rolled cigarette containing tobacco and marijuana,substances,1.0,1,1,1,1,sometimes_euph
1021,"Mrukliwy, z tych, których trochę krzywy nos zagląda w kieliszek, w maciejówce, często w samodziale i długich butach, mógłby uchodzić za szaraczkowatego szlachcica prosto ze wsi.","Lubił nocą popijać w wileńskich restauracjach, jak inny współpracownik Słowa, Jerzy Wyszomirski, ale w przeciwieństwie do niego literaturą się nie interesował.",A już o poezji na pewno nie można było z nim gadać.,NKJP300,popijać,popijać,to drink,pić alkohol,to drink alcohol,substances,1.0,1,1,1,1,always_euph
1022,"Wreszcie pojawiła się dziwna mokra lepkość, jakby coś wewnątrz pękło i życie wyciekało spomiędzy jej nóg gęstymi kroplami.",„Stracę go tak jak ojca?,A jeżeli on już nie wróci?,KWJP,stracę,stracić,to lose,ktoś umrze,somone will die,death,0.0,0,0,1,0,sometimes_euph
1023,(...) a do najbliższego przystanku autobusowego będzie kilometr po błocie.,"„Bo leniwi cwaniacy powinni zostać odseparowani od reszty społeczeństwa i jak dostaną kopa w tyłek, to może się ogarną”.","A jeśli się nie ogarną, to sami są sobie winni.",KWJP,kopa,kop,a kick,-,-,substances,0.0,0,0,1,0,sometimes_euph
1024,Stało się to niebawem!,"Chłopaki zlazły ze mnie, z trawki delikatnie otrzepały i po docuceniu zażądały, żebym dał im jeszcze jedną szansę!","A ja, głupek skończony, dałem się im namówić i znowu dmuchnąłem (...).",KWJP,trawki,trawka,(little) grass,-,-,substances,0.0,1,0,0,0,sometimes_euph
1025,"Sławek, ale sam mówiłeś nam, że zawsze Ci wydrukują to, co napiszesz; jesteś osoba, z która inni się liczą, jesteś znaną postacią, a masz dwadzieścia dziewięć lat.","Tak, choć popatrz, jacy frajerzy lądują na ważnych stanowiskach, bez wysiłku dostają do ręki wielkie możliwości działania, a my musimy gryźć ziemię i jeszcze czasem ktoś rzuci, że jesteśmy bananowa młodzież, lansowana przez ""Wyborczą"" albo kogoś innego.","A cały zarząd ""Krytyki"" to albo ludzie z małych miast, albo ze zwykłych rodzin, a taki matoł Gowin potrafi powiedzieć na przykład, że ""kp"" to ""dzieci (...).",NKJP300,gryźć ziemię,gryźć ziemię,to bite soil,-,-,death,0.5,0,1,1,0,sometimes_euph
1026,"Ale teraz umacnia się przekonanie, że to nie takie proste.","Bardzo popłatnym przerzutem ludzi z Turcji trudnią się m.in. potężne siatki przemytnicze, które wcześniej handlowały narkotykami.",A cały biznes jest wart 2 - 3 mld euro rocznie i również dlatego nawet prikaz Erdogana nie jest świętością na poziomie lokalnych władz i policji.,refugee crisis,przerzutem,przerzut,throwing over,pomoc w nielegalnym przekraczaniu granicy,helping people cross the border illegaly,immigration,0.5,0,0,1,1,sometimes_euph
1027,Ich sylwetki przybliżymy przed imprezą.,"Dzień i noc młócą kombajny, a więc żniwa szczytują.",9 sierpnia w gminie Kołaczkowo odbędzie się zbiórka zużytego sprzętu elektrycznego i elektronicznego.,KWJP,szczytują,szczytować,to peak,-,-,sex,0.0,0,0,0,0,sometimes_euph
1028,"Zgodnie z tym projektem utrzymana zostanie odpowiedzialność przyjęcia ich przez pierwszy kraj, do którego dotrą.","Gdy zostanie przekroczona maksymalna liczba uchodźców, którą dany kraj może przyjąć, rozpocznie się ich relokacja do innych państw.",21 kwietnia po spotkaniu ministrów spraw wewnętrznych państw UE w Luksemburgu Polska opowiedziała się przeciwko obu proponowanym przez KE wariantom reformy unijnej polityki azylowej.,refugee crisis,relokacja,relokacja,relocation,"zmuszanie uchodźców, azylantów, imigrantów do osiedlenia się w danym kraju","forcing refugees, asylum seekers, or immigrants to settle in a given country",immigration,0.5,0,0,1,1,sometimes_euph
1029,Gotowe!,"W książce Rembrandt, książę malarzy, fabule bazującej na biografii artysty, David de Jong pisze, że artysta poznał sztukę trawienia kwasami od Pietera Lastmana, w którego pracowni terminował za młodu.","„Owa technika była jak gdyby stworzona dla młodzieńca obdarzonego pewną ręką, bystrym okiem i żywą wyobraźnią.",KWJP,kwasami,kwas,acid,-,-,substances,0.0,0,0,0,0,sometimes_euph
1030,-,"W szczytowym momencie pieszczot wsuwa dłoń między uda kochanki i wyczuwa u niej ni mniej, ni więcej, tylko mosznę oraz krótki, obwisły członek.","„Jako autorytet w kwestiach snów chciałbym dodać – stwierdza, komentując własną wizję – że nie był to wyraz homoseksualizmu, ale cudowny przykład finalnego hermafrodytyzmu (...).",KWJP,członek,członek,member,penis,penis,sex,1.0,1,1,1,1,sometimes_euph
1031,"Opodatkować konsumentów tortu »Fedora«, tortu »Mocca« i innych.",Od każdego przysmaku ściągać dziesięć procent na chleb dla biednych”.,„Dajcie raz na tydzień cenę jednego obiadu.,KWJP,ściągać,ściągać,to pull down,zmusić kogoś do płacenia,to make someone pay money,money,0.0,0,0,1,0,sometimes_euph
1032,Stąd przesadnie staranna i powolna procedura badania wniosków wizowych Syryjczyków.,"Wśród spekulacji pojawia się też taka, że niektórzy wahabiccy ideologowie są przeciw przyjmowaniu uchodźców, bo w eksporcie muzułmanów do Europy widzą szansę na szybszą islamizację Zachodu.","""Wiele razy byliśmy gościnni"".",refugee crisis,eksporcie,eksport,export,"przymusowe odsyłanie uchodźców, azylantów, imigrantów z danego kraju","forcibly sending refugees, asylum seekers, or immigrants out of the country",immigration,1.0,0,1,1,1,always_euph
1033,-,"To - jak zaznacza ""Politico"", odpowiedź na słowa unijnej komisarz ds. sprawiedliwości Very Jourovej, która zaproponowała uzależnienie dystrybucji funduszy UE w przyszłorocznym wieloletnim budżecie od przestrzegania podstawowych europejskich wartości, co zostało uznane za pogróżkę, która ma przywołać Polskę do porządku.","""Politico"" pisze, że Polska oraz Węgry odmówiły przyjęcia jakichkolwiek uchodźców w ramach podjętej w 2015 roku przez UE decyzji o rozmieszczeniu w krajach członkowskich 160 tys. osób, by odciążyć Grecję (...).",refugee crisis,dystrybucji,dystrybucja,distribution,-,-,immigration,0.0,0,0,0,0,sometimes_euph
1034,To błąd.,"Także deklaracja praska kładzie nacisk nie na to, jak pomóc setkom tysięcy uchodźców, lecz na to, jak wzmocnić zewnętrzne granice UE.","""Forteca Europa"", która marzy się premierowi Węgier, nie jest projektem zasługującym na polskie wsparcie.",refugee crisis,wzmocnić,wzmocnić,to strenghten,zastosować bardziej restrykcyjne metody zapobiegania imigracji,to strenghten the existing measures against the arrival of refugees and asylum seekers,immigration,1.0,0,1,1,1,always_euph
1035,znalazła pod śniegiem trochę jagód.,"a potem borbus się rozszczekał: jama z ziemniakami, ukryta w lesie. właściciel pewnie już gryzł ziemię…","…miał syna Wańkę, a Wańka miał syna Miszę, a Misza miał syna Mikołaja, a Mikołaj nigdy nie będzie mieć syna, ani nawet psa…",KWJP,gryzł ziemię,gryźć ziemię,to bite soil,umrzeć,to die,death,1.0,1,1,1,1,sometimes_euph
1036,Nigdy nie piłam czegoś podobnego – powiedziała i upiła drugi łyk.,"– Tego się nie pije, to się po prostu wdycha.","– Właśnie, proszę pani – oświadczył z zadowoleniem kelner.",KWJP,pije,pić,to drink,-,-,substances,0.0,0,0,0,0,sometimes_euph
1037,Sebastian zrezygnował z lizania moich nóg na rzecz pieszczot palcami.,"Byłam rozgrzana, gotowa na kolejny ruch…",– Sebastian!,KWJP,rozgrzana,rozgrzać,to heat up,pobudzenie seksualne,sexual arousal,sex,1.0,1,1,1,1,always_euph
1038,"– Terapeuta, antydepresanty, ponad ćwierć wieku od tamtych wydarzeń i wszystkie wysiłki, żeby o nich zapomnieć jak krew w piach.",– Jak potas w żyłę.,– Przyzwan znowu weszła w rolę prokuratorki.,KWJP,w żyłę,w żyłę,into the vein,-,-,substances,0.5,0,1,1,0,sometimes_euph
1039,– Dobrze.,Polecisz mi jakiś koktajl bez alkoholu? – poprosił.,"– Pocahontas albo Hanna Montana byłyby w sam raz – odpowiedziała, wskazując na karcie oba koktajle.",KWJP,bez alkoholu,bez alkoholu,without alcohol,-,-,substances,0.0,0,0,0,0,sometimes_euph
1040,"I kolęd posłucha, bo to część kultury.","Spotka się ze znajomymi w sylwestra, wypije piwo bez alkoholu.","– Po prostu żyję jak człowiek, szanuję Boga i własną religię, i w Koranie jest tak napisane: i czcijcie Boga, przestrzegajcie jego zasad w miarę możliwości – mówi.",KWJP,bez alkoholu,bez alkoholu,without alcohol,-,-,substances,0.0,0,0,0,0,sometimes_euph
1041,– Jak będzie kompakt.,"Myślisz, że ciebie jedną mam do posuwania? – skłamał.",– Pełno takich...,NKJP300,posuwania,posuwać,to move,uprawiać seks,to have sex,sex,1.0,1,1,1,1,always_euph
1042,"Przeczytała nalepkę: „Siedząc w fotelu, miej pas zapięty”, i pomyślała, że jest w tym zdaniu jakaś dziwna melodia.","Potem siedziała bez ruchu, trzymając w ręku Annę Kareninę, ściskając ją tak mocno, że tekturowa okładka (głębokie lata pięćdziesiąte) zrobiła się leciutko wilgotna; siedziała, nie otwierając Anny Kareniny, i popatrywała skrycie na boki (łysiejący mężczyzna w czerwonej flanelowej koszuli od okna, młoda kobieta w szarej garsonce od przejścia), wsłuchana w rosnące i opadające szumy silników.",– Pani na długo? – pyta ten z lewej.,NKJP300,wilgotna,wilgotny,wet,-,-,sex,0.0,0,0,0,0,sometimes_euph
1043,Da się dźwigać z kolegą stukilogramowe tłoki NIE-U-WAŻ-NIE?!,Związek mnie wybronił i jeszcze wyciągnął od zarządu kasę.,– Opowiedz lepiej o sobie – zmienia temat James.,KWJP,kasę,kasa,cash register,pieniądze,money,money,1.0,0,1,1,1,sometimes_euph
1044,"Myśleli, że istnieje tylko alkohol.","Myśleli, że jesteśmy stuknięci, jacyś porobieni.","– Niech panowie pamiętają następnym razem, żeby wieczorem zapalać światła!",KWJP,porobieni,porobić,to do,pijany,drunk,substances,1.0,1,1,1,1,always_euph
1045,"– Też ogniem, do cholery!",– Przekręcisz się z bólu.,– Nie przekręcę.,KWJP,przekręcisz się,przekręcić się,to turn around,umrzeć,to die,death,1.0,1,1,1,1,always_euph
1046,W takim razie za kogo ty tutaj robisz?,Za alfonsa?,– Nie powiesz jej?,NKJP300,alfonsa,alfons,a male name?,sutener,procurer,sex,1.0,1,1,1,1,always_euph
1047,"Zdziwiło go tylko, że nie wyczuwał odoru alkoholu.",„Może prochy” – pomyślał.,– Nie patrz tak na mnie jak cielę na malowane wrota – Pazerny aż poklepał się z ukontentowania po brzuchu.,KWJP,prochy,proch,powder,narkotyk w tabletce,illegal drugs (pills),substances,1.0,1,1,1,1,sometimes_euph
1048,Tęgawy młodzieniec na ich widok podniósł się z kieliszkiem w dłoni i wykrzyknął na całą salę:,"– Panie Władeczku kochany, jeszcze jednego na drugą śliczną nóżkę i fruniemy do bajzlu, do Frau Kapuściński na Podgórz!",– Mój braciszek już pijany.,NKJP300,na drugą śliczną nóżkę,na drugą śliczną nóżkę,on the other pretty little leg,napić się więcej [alkoholu],to drink more [alcohol],substances,1.0,1,1,1,1,always_euph
1049,-,"Kompot był niebezpieczny, bo łatwo było go skazić – nigdy się do końca nie wiedziało, co jest w strzykawce i co trafi w żyłę.","– Można było w niej znaleźć kodeinę i różne chemiczne gówno, nawet ocet – opowiada Witek Kondracki, kolega Tomka z Monaru.",KWJP,w żyłę,w żyłę,into the vein,brać narkotyki dożylnie,take intraveneous drugs,substances,0.0,0,0,1,0,sometimes_euph
1050,"Mówili, że Pijao to cagadero, moridero, sralnia i umieralnia.",I wyciągali rękę po zasiłek.,– Moja mama umiała pięknie szyć i rozmawiać z ludźmi.,KWJP,wyciągali rękę,wyciągać rękę,to reach out a hand,prosić o pieniądze,to ask for money,money,1.0,1,1,1,1,always_euph
1051,"Przypomniałem sobie, że miała na imię Rachela, co po hebrajsku znaczy owieczka.","Tarzan pochylił się, przytrzymał ją jedną ręką i wziął od tyłu kilkoma mocnymi ruchami bioder.",– Ma pan swoich ludzi!,KWJP,od tyłu,od tyłu,from behind,-,-,sex,1.0,1,1,1,1,sometimes_euph
1052,Za karę.,– Jego głos stwardniał.,– Gosia?!,KWJP,stwardniał,stwardnieć,to get hard,-,-,sex,0.0,0,0,0,0,sometimes_euph
1053,"Pabianiczanin Dariusz Wypych, mieszkający z rodziną przy ul. Wolnościowej, przypomina, że prawie kilometr wodociągu w mieście jest wykonanego z rur cementowo-azbestowych.","Według niego każde pęknięcie rury lub awaria na złączu wodociągu azbestowego i pcv prowadzi do uwolnienia włókienek, które po spożyciu mogą być powodem nowotworów.",– Do takiej awarii doszło ostatnio przy ul. Parkowej – mówi D. Wypych.,NKJP300,spożyciu,spożycie,consumption,-,-,substances,0.0,0,0,0,0,sometimes_euph
1054,"Porucznik pracował także dla polskiego wywiadu, a do Egiptu udał się początkiem grudnia.",Wrócił tuż przed relokacją sztabu do Włoch.,"– Co masz dla mnie, Kopczyński?",KWJP,relokacją,relokacja,relocation,-,-,immigration,0.0,0,0,0,0,sometimes_euph
1055,Pewnie prochy.,"Wiesz, taka moda, wszyscy się szprycują, wąchają, łykają.",– Ale to nie było zabójstwo?,KWJP,się szprycują,się szprycować,to shoot up,brać narkotyki,to take drugs,substances,1.0,1,1,1,1,always_euph
1056,"– Co się dziwić, że do innej poszedł, jak ta jego damulka wiecznie niezdecydowana.","Takiej nie dogodzisz i dobrze się stało, że ją przegonił w czorty.",– A może i masz rację…,KWJP,dogodzisz,dogodzić,to please,-,-,sex,0.0,0,0,0,0,sometimes_euph
1057,Poznany przed chwilą facet ciągnie krysię w krzaki. Co za banał!,"- Ale ona przecież o niczym innym nie marzy, już wilgotna i gotowa otworzyć się przy pierwszym dotknięciu czarodziejskiej różdżki.",- Za sprawą twojego Dionizosa i jego prymitywnych sztuczek z owocowym sokiem.,NKJP300,wilgotna,wilgotny,wet,zwilżenie pochwy/ pobudzenie seksualne,vaginal lubrication/ sexual arousal,sex,1.0,1,1,1,1,sometimes_euph
1058,To nie jest sympatyczny ustrój.,"Dlatego tak łatwo sprzedają się nadzieje, że tak być nie musi.","- Wszystko, co człowiek stworzył, obciążone jest i dobrem, i złem, a jednak ludzie wciąż na nowo wierzą, że zło da się ominąć i tak urządzić świat, żeby królowało na nim samo dobro - mówi były prezes Konfederacji Pracodawców Polskich Andrzej Machalski.",NKJP300,sprzedają się,sprzedawać się,to sell oneself,-,-,sex,0.0,0,0,0,0,sometimes_euph
1059,Miał opowiedzieć biskupom o różnych aspektach kryzysu migracyjnego w Europie.,Jego wypowiedzi udzielone potem w należącej do Episkopatu Katolickiej Agencji Informacyjnej podsycają nieufność wobec uchodźców i planów ich przyjmowania do Europy.,"- Wszystko na to wskazuje, że ta ogromna fala uchodźców była spowodowana koncepcją polityki zastosowanej przez największe kraje Unii Europejskiej.",refugee crisis,nieufność,nieufność,distrust,ksenofobia/ rasizm,xenophobia/ racism,immigration,1.0,1,0,1,1,sometimes_euph
1060,Odetchnął głęboko i cicho zagadnął:,- Czy naprawdę nie ma już ani cienia nadziei?,- Widzisz pan przecież...,NKJP300,nie ma już ani cienia nadziei,nie mieć już ani cienia nadziei,not to have a shadow of hope,umierać,to die,death,0.5,0,0,1,1,sometimes_euph
1061,Kuba Wojewódzki lubi drażnić opinię publiczną.,Tym razem zapowiedział gości swojego programu kontrowersyjnym ostatnio słowem.,- We wtorek u mnie uchodźcy - napisał pod fotką przedstawiającą Mesajah i Michała Kwiatkowskiego.,refugee crisis,gości,gość,guest,-,-,immigration,0.0,0,0,0,0,sometimes_euph
1062,Ale dokąd?,"- Odeszliśmy dopiero wtedy, kiedy zaczęli nas bić i podpalać - mówi Peter.",- Uciekliśmy od pogromów.,NKJP300,odeszliśmy,odejść,to leave,-,-,death,0.0,0,0,0,0,sometimes_euph
1063,Bogdan nie dawał za wygraną.,- Żeby jej tak rozłożyć nogi...,"- Ty byś przeleciał wszystko, co się rusza.",NKJP300,rozłożyć nogi,rozłożyć nogi,spread one's legs,uprawiać seks,to have sex,sex,1.0,1,1,1,1,always_euph
1064,"Argument przemówił do dziewczyny na tyle, że bez dalszych rozmów zrzuciła z siebie, co było jeszcze do zrzucenia, i stanęła przed włochatym, jak ją pan bóg stworzył.","Ten niczym wytrawny kochanek przyklęknął i zabrał się do pokrywania pocałunkami bladego uda, po czym nagle znieruchomiał i nie wiedzieć czemu zaprzestał amorów.",- Oj - westchnął smutno diabeł (jak Gośka zdecydowała się go w myślach nazywać) - chyba jest już po wszystkim.,NKJP300,amorów,amor,courtship?,seks,sex,sex,1.0,1,1,1,1,sometimes_euph
1065,"Ciemnowłose, wielkookie, zbiły się w gromadkę przy bufecie i coś tam sobie półszeptem wykładając, wodziły palcami po szkle gabloty, gdzie leżały te wszystkie donald ducki, hollywoody i sperminty jak kolorowe śmieci, jak kamyki do mozaiki, z których nikt nie potrafi ułożyć jakiegokolwiek wizerunku.","- Popatrz, to oni będą posuwać nasze córki - powiedział Kostek.",- No to co?,NKJP300,posuwać,posuwać,to move,uprawiać seks,to have sex,sex,1.0,1,1,1,1,always_euph
1066,Afrykanie będą odsyłani najprawdopodobniej do Rwandy i Ugandy.,"Według mediów i aktywistów Izrael już od 2015 r. ""eksportuje"" tam niechcianych przybyszy na podstawie podpisanych wcześniej specjalnych umów (Uganda temu zaprzecza).","- Nasze działania są wymierzone w nielegalnych imigrantów, którzy przybywają tu nie jako uchodźcy, lecz do pracy - tłumaczy premier Beniamin Netanjahu.",refugee crisis,eksportuje,eksportować,to export,"przymusowe odsyłanie uchodźców, azylantów, imigrantów z danego kraju","forcibly sending refugees, asylum seekers, or immigrants out of the country",immigration,1.0,1,1,1,1,always_euph
1067,- Sure!,"W tym czasie nieboszczyków na całym Wschodzie zaopatrywano obficie w ostatnią podróż - ku pożytkowi hien cmentarnych, a później archeologów - uśmiecha się Stelios.","- Im głębiej sięgnąć wstecz, tym bardziej wiedzę o żywych zawdzięczamy umarłym...",NKJP300,ostatnią podróż,ostatnia podróż,the last journey,śmierć,death,death,1.0,1,1,1,1,sometimes_euph
1068,- Spodziewałaś się czegoś takiego po niej?,"- Przez piętę mi nie przeleciało. Raczej łagodna, kulturalna.",- I chce zabijać.,NKJP300,przeleciało,przelecieć,to fly across/ over,-,-,sex,0.0,0,0,0,0,sometimes_euph
1069,"W środę po południu 17-letni Jarek - mieszkaniec województwa kaliskiego -
pracował w gospodarstwie.","Nagle ""chwycił"" go za spodnie pas transmisyjny
pracującej maszyny i... urwał mu męskość.","- Gdy pacjent razem z prąciem trafił do szpitala w Ostrzeszowie (Kaliskie),
lekarze natychmiast umieścili narząd w roztworze soli fizjologicznej i
obłożyli lodem - opowiada Lech Gałek.",NKJP300,męskość,męskość,masculinity,penis,penis,sex,1.0,1,1,1,1,sometimes_euph
1070,-,Gdzie leży Polska?,- Czy Polska to kraj w Azji czy w Afryce? - takie pytanie zadano minionego lata mojemu znajomemu w Stanach Zjednoczonych.,NKJP300,leży,leżeć,lie down,-,-,death,0.0,0,0,0,0,sometimes_euph
1071,-,"Z uwagi na rozpowszechnianie się pijaństwa, Rada Powiatowa postanowiła ""przedstawić władzom wyższym konieczność ograniczenia sprzedaży wyrobów alkoholowych w butelkach mniejszych niż pół litra"".",-,NKJP300,pół litra,pół litra,half a litre,-,-,substances,0.0,0,0,0,0,sometimes_euph
1072,"Wie pan, reputację pijaka zawdzięczam dziennikarzom.","Co ciekawe, żadnemu z nich nie przyszło do głowy, że jeśli dużo piję w ich obecności, to tylko po to, aby móc ich znieść.",-,KWJP,piję,pić,to drink,pić alkohol,to drink alcohol,substances,1.0,1,1,1,1,always_euph
1073,Mężczyzna posiadał sądowny zakaz prowadzenia pojazdów mechanicznych.,"Za jazdę po spożyciu alkoholu i złamanie zakazu grozi mu do pięciu lat pozbawienia wolności – informuje Robert Matyasik, rzecznik prasowy chrzanowskiej policji.",-,KWJP,spożyciu,spożycie,consumption,-,-,substances,0.5,1,0,0,1,sometimes_euph
1074,W paru słowach uzgodniliśmy sposób spisywania roztropnych raportów kasowych.,"Dowiedziałam się, że dowódca dywizji popija wódkę mocną herbatą, szef sztabu - oranżadą, ale nie za zimną, kwatermistrz udaje abstynenta, a oficer Informacji Wojskowej popada w roztkliwienie po spożyciu trzech szklanek spirytusu z sokiem malinowym, mocny łeb.",-,NKJP300,spożyciu,spożycie,consumption,-,-,substances,0.5,1,0,0,1,sometimes_euph
1075,"Mówi, że chce schudnąć, ćwiczy do tego prawie codziennie, ale jakoś nie udaje mu się to.","Zapomina chyba o tym, że zajadanie się hamburgerami, chipsami i popijanie tego colą (a wieczorem piwkiem) nie wspomaga zbytnio jego wysiłku fizycznego.",-,NKJP300,popijanie,popijać,to drink,-,-,substances,0.0,0,0,0,0,sometimes_euph
1076,"""Zgoda - mówił - we wszystko wierzę, ale w sojusz robotniczo-chłopski nie!","My się tego nie doczekamy!""",-,NKJP300,się tego nie doczekamy,nie doczekać się,not to wait enough for,umrzeć,to die,death,1.0,1,0,1,1,always_euph
1077,"(...) elementy zapożyczone z kubizmu i futuryzmu, lecz – zdaniem poety – nie do końca sprowadzające się do tych nurtów.","Nic dziwnego, że tak mgliście zarysowana antologia nigdy nie doczekała się publikacji nad Tamizą, jednak sama propozycja świadczy o pokusie przekroczenia narodowych granic z awangardowym rozmachem, już bez prowincjonalnych kompleksów, jakie dotąd towarzyszyły Portugalczykom we wszystkich kontaktach (...).",-,KWJP,nie doczekała się,nie doczekać się,not to wait enough for,-,-,death,0.0,0,0,0,0,sometimes_euph
1078,"Śmierć tego miejsca boli w podobny sposób, jak boli śmierć jego gospodyni.","Wraz ze zgaśnięciem wspaniałej, wiecznie młodej i intelektualnie aktywnej pani Marii, wraz z odejściem jej pamięci, przechowującej w sobie obrazy wielkiej przeszłości, wraz ze spopieleniem papierów i zniszczeniem domu, zatopionego w pełnym kwiatów i drzew ogrodzie, jest nas po prostu (...).",-,KWJP,odejściem,odejść,to leave,umrzeć,to die,death,1.0,1,0,1,1,always_euph
1079,-,"I Rudolf, jej chudy, wycieńczony z codziennego puszczania soków mąż, który potem siedział w więzieniu, potem zbiesił się, chciał ją zabić, potem popadł w alkoholizm, wreszcie przekręcił się nieoczekiwanie, choć okropnie, zostawiając po sobie dwie córki, które pamiętam, jak się rodziły, jak raczkowały…",-,NKJP300,przekręcił się,przekręcić się,to turn around,umrzeć,to die,death,1.0,1,1,1,1,sometimes_euph
1080,-,"Kiedy rozmawia się z rodzicami, którzy stracili dziecko w szpitalu, w wielu relacjach uderza, nawet po latach, ogromny żal, że nie zostali w sposób czytelny ostrzeżeni: leczenie dobiegło końca, dalsza chemioterapia (zwana uczenie paliatywną) nie prowadzi do wyleczenia choroby, a ma jedynie ją spowalniać.",-,NKJP300,stracili,stracić,to lose,ktoś umarł,someone died,death,1.0,1,1,1,1,always_euph
1081,Nie przypadkiem jego nazwisko wymieniano obok takich piłkarzy jak Cruyff i Beckenbauer.,"Wspominam go ze łzą w oku żałując, że zabrakło go wśród nas"".",-,NKJP300,zabrakło,zabraknąć,to be missing,umrzeć,to die,death,1.0,1,1,1,1,sometimes_euph
1082,"- Wie pan, tak naprawdę to nie, bo ja nie znam Limy - odparła Zofia Chądzyńska.","- Nie przyznałem się, że ja nie tylko nie znam Limy, to jeszcze nawet nigdy nie byłem w Ameryce Łacińskiej i tamten świat mogę sobie tylko wyobrażać - mówi dziś Marrod.",-,NKJP300,tamten świat,tamten świat,that world,-,-,death,0.0,0,0,0,0,sometimes_euph
1083,-,"Gdybyś miał(a) kochać się z kimś z grona przyjaciół twojego chłopaka/twojej dziewczyny, kogo byś wybrał(a)?",-,NKJP300,kochać się,kochać się,to love,uprawiać seks,to have sex,sex,1.0,1,1,1,1,always_euph
